Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
City Marshal,Henry Clay Jeans,35.0,1885-04-25,Saturday,Gunfire,"Warsaw Police Department, Missouri",Missouri,6 years,,Handgun; .38 caliber,Shot and killed,"City Marshal Henry Jeans was shot and killed while attempting to arrest a man wanted for carrying concealed weapons.The located the man eating breakfast at a local restaurant and attempted to arrest him. The subject immediately ran past them and out of the restaurant. Once on the the street he drew a .38 caliber revolver and opened fire, striking Marshal Jeans in the head.Two other officers were able to return fire and killed the subject."
Deputy Sheriff,Joseph R. Buchanan,54.0,1885-05-12,Tuesday,Gunfire,"Fannin County Sheriff's Office, Texas",Texas,,,Rifle,,"Deputy Buchanan and Sheriff Thomas Ragsdale were shot and killed as they attempted to serve warrants on suspected horse thiefs. As the officers approached the house the two brothers opened fire, killing them.Deputy Buchanan was survived by his wife."
Deputy U.S. Marshal,Miller Hurst,,1885-10-11,Sunday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,,,Shotgun,,"Marshal Hurst was shot and killed in Fentriss County, Tennessee, while he and another deputy marshal were transporting a prisoner. The marshals had arrested the man in Pickett County for moonshining and were returning him to Nashville when they were ambushed near Jamestown. Marshal Hurst was struck by shotgun blasts and killed. The other marshal was able to retreat and was not injured. The prisoner they were transporting was freed by the suspects and they all fled the scene."
Marshal,"Harrington Lee ""Hal"" Gosling",33.0,1885-02-21,Saturday,Gunfire,"United States Department of Justice - United States Marshals Service, U.S. Government",United States,"2 years, 10 months",,Gun; Unknown type,one killed and one sentenced to prison,"Two outlaws, Charles Yeager and James Pitts, were arrested for robbing post offices and other crimes. They were tried, convicted and sentenced to life in prison at a trial in U.S. District Court in Austin. Family and friends conspired to free them on the train back to the jail in San Antonio. The conspirators agreed in advance that they had to kill Marshal Gosling.The prisoners were handcuffed together and were seated facing each other at the window. Pitts' 18 year old wife and Yeager's sister were allowed to sit next to them on the train. Marshal Gosling was warned of an escape attempt, but took no precautions. He was accompanied only by deputies John Manning and Fred Loring. A number of family and friends also got on the train, including Pitts' grandmother. At a point about 4 miles from New Braunfels, one or both of the women handed the prisoners each a pistol. Pitts ordered the officers to surrender, but Marshal Gosling was hindered because his pistol was under his vest. Pitts shot the marshal behind the left ear and Yeager shot him in the back. The marshal collapsed on Deputy Manning, who was then shot twice. Manning rose and shot Pitts twice. The conductor opened fire and shot and mortally wounded Pitts' grandmother when she confronted him. Deputy Loring opened fire and wounded Yeager's sister and shot Yeager twice as he and Pitts jumped from the train and fled. Pitts died from four wounds, and Yeager was arrested later by a posse. Charles Yeager and the conspirators were never convicted for the murder of Marshal Gosling. Yeager was sent to federal prison in Illinois on the original conviction. He was pardoned on December 25, 1903 after 18 years in prison.   Marshal Gosling was buried in the Knights of Pythias Cemetery in San Antonio. He was survived by his wife and two small sons. He was a lawyer and newspaper owner before being appointed as a U.S. Marshal."
Deputy Sheriff,Levi L. Drinkard,27.0,1885-10-26,Monday,Gunfire,"Limestone County Sheriff's Office, Texas",Texas,,,Rifle,Apprehended,"Deputy Sheriff Levi Drinkard was shot and killed while attempting to arrest three horse thieves near Kosse.Deputy Drinkard and a posse attempted to serve a warrant on three horse thieves. The posse surrounded the cabin and ordered the men to come out. Deputy Drinkard read the warrants out loud and ordered the suspects to exit the residence. The suspects shot and killed Deputy Drinkard and fled the scene.Two suspects were apprehended. One was shot in the leg and as a result, had to have his leg amputated a week later."
Patrolman,John M. Arnold,55.0,1885-02-12,Thursday,Gunfire,"Nashville City Police Department, Tennessee",Tennessee,,,Gun; Unknown type,Later shot and killed,Patrolman Arnold was shot and mortally wounded while attempting to arrest a well-known desperado and ex-con. He developed blood poisoning and died five weeks later. The suspect was charged with murder and released after posting bond. Seven months later during his trial he shot and killed a witness who was going to testify against him. He went into hiding and was shot and killed a year later by a man in Hickman County.
Sheriff,George Washington Epperson,53.0,1885-12-25,Friday,Gunfire,"Bradford County Sheriff's Office, Florida",Florida,1 year,,Gun; Unknown type,Executed in 1886,"Sheriff Epperson was shot and killed near Valdosta, Georgia, while attempting to arrest a man wanted for a murder in Bradford County. The suspect also shot and wounded a Valdosta police officer who was accompanying Sheriff Epperson. The suspect was captured six days later in Camilla, Georgia.The suspect was convicted of Sheriff Epperson's murder and hanged on July 16, 1886.Sheriff Epperson's son, Henry Epperson, was shot and killed in the line of duty on January 20, 1890, while serving as sheriff of Bradford County.Sheriff Epperson was survived by his wife, two sons, and two daughters. He was elected Sheriff the previous year and took office in 1885, the year he was killed. He was a Confederate Civil War Veteran who served as a sergeant in the 37th Alabama Infantry, Company I. "
Constable,J. D. L. Johnson,29.0,1885-02-14,Saturday,Gunfire,"Cooke County Constable's Office - Precinct 5, Texas",Texas,,,Gun; Unknown type,J.H. Rainey and J.E. Rainey,"On Saturday, February 14, 1885, at approximately 4-5:00 p.m., Cooke County Precinct 5 Constable J.D.L. Johnson and Deputy Constables Newton Floyd and John Stewart, attempted to serve a writ of attachment on a team of horses and wagon owned by J.H. ""Old Man"" Rainey. Rainey and his son, J. E. ""Jim"" Rainey, were getting ready to cross the Red River into Indian Territory (present day Oklahoma) when the three lawmen confronted them. ""Old Man"" Rainey resisted the officers and told his son to shoot Constable Johnson. The younger Rainey shot Constable Johnson in the head and upper body, killing him instantly. The son then shot and wounded Deputy Constable Floyd.J. E. ""Jim"" Rainey was sentenced to life in prison and his father, J.H. ""Old Man"" Rainey, received 20 years in prison.Constable J.D.L. Johnson is buried in the Marysville Cemetery in Cooke County.Precinct 5 no longer exists. Cooke County has only Precinct 1 and 4 today."
Deputy,Henry Clay Davis,27.0,1885-12-27,Sunday,Gunfire,"Lamar County Sheriff's Office, Texas",Texas,,,Rifle,Lynched,Deputy Davis was shot and killed while serving an arrest warrant on a man who was wanted for disturbing the peace. Deputy Davis allowed the man to go to his room to retrieve more clothing. The suspect came out with a rifle and shot Deputy Davis. The suspect was arrested. Two weeks later an angry mob forcibly removed him from the jail and hanged him. 
Sheriff,J. C. Fennel,32.0,1885-09-25,Friday,Gunfire,"Orange County Sheriff's Office, Texas",Texas,"10 months, 3 weeks",,Unknown weapon,Dave Anderson lynched by mob,"Dave Anderson arrived in Orange County on a train. Anderson was wanted in Nashville, Tennessee, for the murder of I. B. Buddington, a brakeman on the Louisville and Nashville railway on August 16, 1885. The brakeman had tried to stop Anderson from stealing a ride on the train and Anderson killed him. Orange County Sheriff J. C. Fennel attempted to arrest Anderson on a murder warrant from Tennessee. No details are given but Anderson shot the sheriff during the arrest attempt. Sheriff Fennel died around 9:30 p.m. on September 25, 1885.Orange City Marshal Davis gathered a posse and tracked down the killer, and lodged him in the county jail. After dark, a torch-light mob of masked men marched to the jail, and “at the point of 100 cocked revolvers,” forcibly removed the prisoner. He was quickly carried to an oak tree and hanged on First Street, after which the mob quickly dispersed, leaving Anderson’s body “literally riddled with bullets.”Sheriff J. C. Fennel was buried in Evergreen Cemetery in Orange, Orange County, Texas in an unmarked grave. Burial records indicate Fennel was born on January 29, 1853. He was survived by his wife, Lucy Junker Fennel. Fennel was elected sheriff of Orange County on November 4, 1884. His name has also been reported as Fennell. His first name was either James or Jasper.  "
